id,nome_sito,prezzo_sito,prezzo_gipo_ultimo,data_ultima_fattura,prezzo_gipo_modale,n_fatture_12m,esito
elettroforesi-proteica,ELETTROFORESI PROTEICA,10.5,10.5,2026-06-29,10.5,233,OK
elettroforesi-proteine-urinarie,ELETTROFORESI PROTEINE URINARIE,15.0,15.0,2026-02-11,15.0,1,OK
emocromatosi,EMOCROMATOSI,130.0,,,,0,NO_DATI_GIPO
emocromo,Emocromo,6.5,6.5,2026-07-01,6.5,1119,OK
emocromo,EMOCROMO,6.5,6.5,2026-07-01,6.5,1119,OK
emocromo-in-citrato,EMOCROMO IN CITRATO,8.0,8.0,2026-06-16,8.0,4,OK
emoglobina-glicata-hba1c,EMOGLOBINA GLICATA (HbA1c),12.0,12.0,2026-06-26,12.0,232,OK
emopessina,EMOPESSINA,30.0,,,,0,NO_DATI_GIPO
ena-antigene-ssb-la-abs,ENA ANTIGENE SSB (LA) ABS,21.0,,,,0,NO_DATI_GIPO
ena-profile,ENA PROFILE,150.0,120.0,2026-06-23,130.0,5,MISMATCH
endobiome-endometrial-microbiome-analysis,ENDOBIOME Endometrial microbiome analysis,280.0,280.0,2026-06-26,280.0,14,OK
endorecept-endobiome,Endorecept + Endobiome,880.0,,,,0,NO_DATI_GIPO
endorecept-endometrial-receptivity-test,Endorecept Endometrial receptivity test,600.0,,,,0,NO_DATI_GIPO
enolasi-neuronale-specifica-nse,ENOLASI NEURONALE SPECIFICA (NSE),25.0,25.0,2026-02-24,25.0,2,OK
enterovirus-poliovirus-anticorpi,ENTEROVIRUS (POLIOVIRUS) ANTICORPI,123.9,,,,0,NO_DATI_GIPO
epatite-e-igg,EPATITE E IgG,58.0,,,,0,NO_DATI_GIPO
epitelio-cane-ige-specifiche,EPITELIO CANE (IgE SPECIFICHE),12.5,,,,0,NO_DATI_GIPO
epitelio-coniglio-ige-specifiche,EPITELIO CONIGLIO (IgE SPECIFICHE),12.5,,,,0,NO_DATI_GIPO
epitelio-di-capra-ige-specifiche,EPITELIO DI CAPRA (IgE SPECIFICHE),19.0,,,,0,NO_DATI_GIPO
epitelio-di-cavia-ige-specifiche,EPITELIO DI CAVIA (IgE SPECIFICHE),19.0,,,,0,NO_DATI_GIPO
epitelio-di-criceto-ige-specifiche,EPITELIO DI CRICETO (IgE SPECIFICHE),19.0,,,,0,NO_DATI_GIPO
epitelio-di-maiale-ige-specifiche,EPITELIO DI MAIALE (IgE SPECIFICHE),19.0,,,,0,NO_DATI_GIPO
epitelio-di-pecora,EPITELIO DI PECORA,18.0,,,,0,NO_DATI_GIPO
epitelio-di-ratto-ige-specifiche,EPITELIO DI RATTO (IgE SPECIFICHE),19.0,,,,0,NO_DATI_GIPO
epitelio-di-topo-ige-specifiche,EPITELIO DI TOPO (IgE SPECIFICHE),19.0,,,,0,NO_DATI_GIPO
epitelio-gatto-ige-specifiche,EPITELIO GATTO (IgE SPECIFICHE),12.5,,,,0,NO_DATI_GIPO
epitelio-lana-di-pecora-ige-specifiche,EPITELIO/LANA DI PECORA (IgE SPECIFICHE),19.0,,,,0,NO_DATI_GIPO
epstein-barr-virus-dna,EPSTEIN BARR VIRUS DNA,108.0,,,,0,NO_DATI_GIPO
erba-canina-cynodon-dactylon-ige-specifiche,ERBA CANINA (CYNODON DACTYLON) (IgE SPECIFICHE),12.5,,,,0,NO_DATI_GIPO
erba-cannuccia-agrostis-alba-ige-specifiche,ERBA CANNUCCIA (AGROSTIS ALBA) (IgE SPECIFICHE),19.0,,,,0,NO_DATI_GIPO
erba-mazzolina-dactylis-glomerata-ige-specifiche,ERBA MAZZOLINA (DACTYLIS GLOMERATA) (IgE SPECIFICHE),12.5,,,,0,NO_DATI_GIPO
erba-parietaria-ige-specifiche,ERBA PARIETARIA (IgE SPECIFICHE),12.5,12.5,2025-07-18,12.5,1,OK
erba-vetriola-parietaria-officinalis-ige-specifich,ERBA VETRIOLA (PARIETARIA OFFICINALIS) (IgE SPECIFICHE),12.5,12.5,2025-07-18,12.5,1,OK
eritropoietina,ERITROPOIETINA,22.9,22.9,2026-02-23,22.9,2,OK
esame,ESAME,9.5,,,,0,NO_DATI_GIPO
esame-chimico-del-calcolo-renale,ESAME CHIMICO DEL CALCOLO RENALE,35.0,35.0,2025-11-06,35.0,3,OK
esame-chimico-fisico-delle-urine,ESAME CHIMICO FISICO DELLE URINE,5.95,5.95,2026-06-29,5.95,558,OK
esame-citologico-urine,ESAME CITOLOGICO URINE,60.0,,,,0,NO_DATI_GIPO
esame-citologico-urine-campione-1,ESAME CITOLOGICO URINE CAMPIONE 1,20.0,20.0,2026-03-04,20.0,2,OK
esame-citologico-urine-campione-2,ESAME CITOLOGICO URINE CAMPIONE 2,20.0,20.0,2026-03-04,20.0,2,OK
esame-citologico-urine-campione-3,ESAME CITOLOGICO URINE CAMPIONE 3,20.0,20.0,2026-03-04,20.0,2,OK
esame-colturale-ricerca-clamydia-su-tampone-vagina,ESAME COLTURALE  RICERCA CLAMYDIA su TAMPONE VAGINALE,9.5,9.5,2026-03-19,9.5,1,OK
esame-colturale-clostridium-difficile,ESAME COLTURALE CLOSTRIDIUM DIFFICILE,35.0,,,,0,NO_DATI_GIPO
esame-colturale-del-liquido-articolare,ESAME COLTURALE DEL LIQUIDO ARTICOLARE,70.0,,,,0,NO_DATI_GIPO
esame-colturale-delle-feci-coprocoltura-completo,ESAME COLTURALE DELLE FECI (COPROCOLTURA) COMPLETO,22.0,22.0,2026-06-24,22.0,27,OK
esame-colturale-dell-urina-urinocoltura,ESAME COLTURALE DELL'URINA (URINOCOLTURA),12.5,12.5,2026-06-30,12.5,451,OK
esame-colturale-materiale-liquido,ESAME COLTURALE MATERIALE LIQUIDO,50.0,,,,0,NO_DATI_GIPO
esame-colturale-pus,ESAME COLTURALE PUS,70.0,,,,0,NO_DATI_GIPO
esame-colturale-squame-cutanee,ESAME COLTURALE SQUAME CUTANEE,9.5,9.5,2025-12-23,9.5,7,OK
esame-colturale-tampone-anale,ESAME COLTURALE TAMPONE ANALE,40.0,,,,0,NO_DATI_GIPO
esame-colturale-tampone-auricolare-destro,ESAME COLTURALE TAMPONE AURICOLARE DESTRO,18.0,18.0,2026-06-15,18.0,5,OK
esame-colturale-tampone-auricolare-sinistro,ESAME COLTURALE TAMPONE AURICOLARE SINISTRO,18.0,18.0,2026-06-15,18.0,3,OK
esame-colturale-tampone-balano-prepuziale-completo,ESAME COLTURALE TAMPONE BALANO PREPUZIALE COMPLETO,55.0,55.0,2026-06-18,55.0,14,OK
esame-colturale-tampone-cervicale,ESAME COLTURALE TAMPONE CERVICALE,8.5,8.5,2026-06-18,8.5,35,OK
esame-colturale-tampone-congiuntivale-destro,ESAME COLTURALE TAMPONE CONGIUNTIVALE DESTRO,35.0,,,,0,NO_DATI_GIPO
esame-colturale-tampone-congiuntivale-sinistro,ESAME COLTURALE TAMPONE CONGIUNTIVALE SINISTRO,35.0,,,,0,NO_DATI_GIPO
esame-colturale-tampone-cutaneo,ESAME COLTURALE TAMPONE CUTANEO,28.5,28.5,2026-05-15,28.5,11,OK
esame-colturale-tampone-faringeo,ESAME COLTURALE TAMPONE FARINGEO,12.0,12.0,2025-12-20,12.0,3,OK
esame-colturale-tampone-faringeo-completo,ESAME COLTURALE TAMPONE FARINGEO COMPLETO,25.0,25.0,2026-06-17,25.0,25,OK
esame-colturale-tampone-faringeo-per-ricerca-micet,ESAME COLTURALE TAMPONE FARINGEO per RICERCA MICETI,18.0,,,,0,NO_DATI_GIPO
esame-colturale-tampone-faringeo-per-ricerca-stafi,ESAME COLTURALE TAMPONE FARINGEO PER RICERCA STAFILOCOCCO,12.0,25.0,2025-10-20,25.0,1,MISMATCH
esame-colturale-tampone-faringeo-per-ricerca-strep,ESAME COLTURALE TAMPONE FARINGEO PER RICERCA STREPTOCOCCO,12.0,12.0,2025-08-08,12.0,1,OK
esame-colturale-tampone-gengivale,ESAME COLTURALE TAMPONE GENGIVALE,40.0,,,,0,NO_DATI_GIPO
esame-colturale-tampone-linguale,ESAME COLTURALE TAMPONE LINGUALE,35.0,35.0,2025-09-11,35.0,1,OK
esame-colturale-tampone-narice-destra,ESAME COLTURALE TAMPONE NARICE DESTRA,30.0,,,,0,NO_DATI_GIPO
esame-colturale-tampone-narice-sinistra,ESAME COLTURALE TAMPONE NARICE SINISTRA,30.0,,,,0,NO_DATI_GIPO
esame-colturale-tampone-orale,ESAME COLTURALE TAMPONE ORALE,40.0,,,,0,NO_DATI_GIPO
esame-colturale-tampone-rinofaringeo,ESAME COLTURALE TAMPONE RINOFARINGEO,12.0,12.0,2026-06-03,12.0,5,OK
esame-colturale-tampone-uretrale,ESAME COLTURALE TAMPONE URETRALE,12.5,12.5,2026-06-25,12.5,45,OK
esame-colturale-tampone-uretrale-per-ricerca-mycop,ESAME COLTURALE TAMPONE URETRALE  PER RICERCA MYCOPLASMA E UREAPLASMA,20.0,20.0,2026-05-27,20.0,21,OK
esame-colturale-tampone-vaginale,ESAME COLTURALE TAMPONE VAGINALE,9.8,9.8,2026-06-29,9.8,270,OK
esame-colturale-tampone-vulvare,ESAME COLTURALE TAMPONE VULVARE,10.0,10.0,2026-02-23,10.0,2,OK
esame-del-liquido-articolare,ESAME DEL LIQUIDO ARTICOLARE,55.0,,,,0,NO_DATI_GIPO
esame-delle-urine,ESAME DELLE URINE,5.5,,,,0,NO_DATI_GIPO
esame-micologico,ESAME MICOLOGICO,9.5,9.5,2026-04-09,9.5,1,OK
esame-micologico-unghie,ESAME MICOLOGICO UNGHIE,9.5,9.5,2026-02-24,9.5,11,OK
esame-microbiologico-prp-plasma-ricco-di-piastrine,ESAME MICROBIOLOGICO PRP (Plasma Ricco di Piastrine),40.0,,,,0,NO_DATI_GIPO
esame-microscopico-tampone-vaginale,ESAME MICROSCOPICO TAMPONE VAGINALE,12.5,,,,0,NO_DATI_GIPO
esami-check-up-banco-di-sardegna-donna-dirigenti,Esami check up banco di Sardegna Donna dirigenti,56.29,,,,0,NO_DATI_GIPO
esami-laboratorio-terna,Esami Laboratorio Terna,93.0,,,,0,NO_DATI_GIPO
esami-laboratorio-terna-metalli,Esami Laboratorio Terna Metalli,163.0,,,,0,NO_DATI_GIPO
esami-medicina-del-lavoro-base,Esami medicina del lavoro base,25.48,25.48,2026-06-25,25.48,41,OK
esami-prima-visita-torres-professionisti,Esami prima visita Torres professionisti,140.73,,,,0,NO_DATI_GIPO
esano-urine-f-t,ESANO URINE F.T.,6.0,,,,0,NO_DATI_GIPO
escrementi-di-piccione-ige-specifiche,ESCREMENTI DI PICCIONE (IgE SPECIFICHE),19.0,,,,0,NO_DATI_GIPO
esecuzione-tampone-rinofaringeo,ESECUZIONE TAMPONE RINOFARINGEO,20.0,20.0,2026-05-14,20.0,3,OK
esecuzione-tampone-uretrale,ESECUZIONE TAMPONE URETRALE,20.0,20.0,2026-06-20,20.0,24,OK
espettorato-esame-colturale,ESPETTORATO ESAME COLTURALE,25.0,25.0,2026-01-26,25.0,8,OK
estradiolo,ESTRADIOLO,8.5,8.5,2026-07-01,8.5,275,OK
estriolo,ESTRIOLO,24.5,,,,0,NO_DATI_GIPO
estriolo-non-coniugato,ESTRIOLO NON CONIUGATO,14.0,,,,0,NO_DATI_GIPO
estrone-e1,ESTRONE (E1),39.0,,,,0,NO_DATI_GIPO
etanolo-urinario,ETANOLO URINARIO,19.3,,,,0,NO_DATI_GIPO
etanolo-urine-f-t,ETANOLO URINE F.T.,19.3,,,,0,NO_DATI_GIPO
etg-matrice-pilifera,ETG MATRICE PILIFERA,200.0,,,,0,NO_DATI_GIPO
etilglucuronide-matrice-pilifera-etg,Etilglucuronide matrice pilifera (ETG),180.0,180.0,2026-05-04,180.0,1,OK
etosuccimide,ETOSUCCIMIDE,45.0,,,,0,NO_DATI_GIPO
euroglyphus-mayne-acari-minori-ige-specifiche,EUROGLYPHUS MAYNE (Acari minori) (IGE SPECIFICHE),12.5,12.5,2025-07-18,12.5,1,OK
faggio-fagus-species-ige-specifiche,FAGGIO (FAGUS SPECIES) (IgE SPECIFICHE),12.5,,,,0,NO_DATI_GIPO
fagiolini-ige-specifiche,FAGIOLINI (IgE SPECIFICHE),20.0,,,,0,NO_DATI_GIPO
fagiolo-ige-specifiche,FAGIOLO (IgE SPECIFICHE),12.5,,,,0,NO_DATI_GIPO
fagiolo-rosso-ige-specifiche,FAGIOLO ROSSO (IgE SPECIFICHE),12.5,,,,0,NO_DATI_GIPO
falsa-ambrosia-ambrosia-acanthicarpa-ige-specifich,FALSA AMBROSIA (AMBROSIA ACANTHICARPA) (IgE SPECIFICHE),19.0,19.0,2026-06-22,19.0,1,OK
farina-ige-specifiche,FARINA (IgE SPECIFICHE),14.0,14.0,2025-12-11,14.0,1,OK
farinaccio-chenopodium-album-ige-specifiche,FARINACCIO (CHENOPODIUM ALBUM) (IgE SPECIFICHE),12.5,,,,0,NO_DATI_GIPO
fattore-ii-della-coagulazione,Fattore II della Coagulazione,28.0,28.0,2026-06-15,28.0,5,OK
fattore-v-di-leiden-mutazione-g1691a,Fattore V di Leiden (mutazione G1691A),50.0,50.0,2026-06-15,50.0,15,OK
fattore-v-di-leiden-fattore-ii-mthfr-c677,Fattore V di Leiden + Fattore II + MTHFR C677,196.0,196.0,2026-04-13,196.0,1,OK
fattore-viii,FATTORE VIII,27.0,27.0,2025-10-20,27.0,1,OK
fattore-x,FATTORE X,51.3,,,,0,NO_DATI_GIPO
fattore-xiii,FATTORE XIII,25.0,,,,0,NO_DATI_GIPO
feci-esame-chimico-fisico-parassitologico,FECI ESAME CHIMICO-FISICO-PARASSITOLOGICO,11.5,11.5,2026-06-24,11.5,35,OK
fenciclidina-matrice-urinaria,FENCICLIDINA MATRICE URINARIA,30.0,30.0,2025-08-07,30.0,1,OK
fenilalanina-plasmatica,FENILALANINA Plasmatica,121.0,,,,0,NO_DATI_GIPO
fenitoina-dintoina-difenilidantoina,FENITOINA (DINTOINA) (DIFENILIDANTOINA),15.0,,,,0,NO_DATI_GIPO
fenolo-urine-f-t,FENOLO URINE F.T.,22.0,,,,0,NO_DATI_GIPO
ferritina,FERRITINA,13.9,13.9,2026-07-01,13.9,319,OK
ferro-urinario,FERRO URINARIO,20.0,,,,0,NO_DATI_GIPO
ferro-urine-24h,FERRO URINE 24H,15.9,,,,0,NO_DATI_GIPO
ferro-urine-f-t,FERRO URINE F.T.,20.0,,,,0,NO_DATI_GIPO
fibrinogeno,FIBRINOGENO,4.0,4.0,2026-06-26,4.0,131,OK
fibrosi-cistica-139-mutazioni-europe,FIBROSI CISTICA (139 mutazioni Europe),145.0,145.0,2026-05-20,145.0,27,OK
fibrosi-cistica-152-mutazioni-europe-di-cui-25-ita,Fibrosi Cistica (152 mutazioni Europe di cui 25 Italiane) - NGS CE-IVD,165.0,165.0,2026-05-12,165.0,6,OK
fibrosi-cistica-sequenziamento-completo,Fibrosi Cistica- sequenziamento completo,315.0,315.0,2026-02-18,315.0,5,OK
fish-advance-sper-aneuploidy-test,Fish Advance Sper Aneuploidy Test,240.0,240.0,2026-06-08,240.0,2,OK
fk506-tacrolimus,FK506 (TACROLIMUS),110.9,,,,0,NO_DATI_GIPO
forfora-cane-ige-specifiche,FORFORA CANE (IgE SPECIFICHE),12.5,,,,0,NO_DATI_GIPO
forfora-cavallo-ige-specifiche,FORFORA CAVALLO (IgE SPECIFICHE),12.5,,,,0,NO_DATI_GIPO
forfora-mucca-ige-specifiche,FORFORA MUCCA (IgE SPECIFICHE),12.5,,,,0,NO_DATI_GIPO
formaggio-fermentato-ige-specifiche,FORMAGGIO FERMENTATO (IgE SPECIFICHE),12.5,,,,0,NO_DATI_GIPO
formaggio-molle-ige-specifiche,FORMAGGIO MOLLE (IgE SPECIFICHE),12.5,,,,0,NO_DATI_GIPO
formica-solenopsis-invicta-ige-specifiche,FORMICA (SOLENOPSIS INVICTA) (IgE SPECIFICHE),25.0,,,,0,NO_DATI_GIPO
fosfatasi-acida-totale,FOSFATASI ACIDA TOTALE,10.0,,,,0,NO_DATI_GIPO
fosfatasi-alcalina,FOSFATASI ALCALINA,3.8,3.8,2026-06-26,3.8,146,OK
fosfatasi-alcalina-ossea-specifica,FOSFATASI ALCALINA OSSEA SPECIFICA,35.0,35.0,2026-05-09,35.0,2,OK
fosfatasi-prostatica-pap,FOSFATASI PROSTATICA (PAP),35.0,,,,0,NO_DATI_GIPO
fosfaturia-urine-24h,FOSFATURIA URINE 24H,3.8,3.8,2026-03-20,3.8,2,OK
fosforo,FOSFORO,2.8,2.8,2026-06-24,2.8,53,OK
fragola-ige-specifiche,FRAGOLA (IgE SPECIFICHE),12.5,,,,0,NO_DATI_GIPO
frammentazione-dna,FRAMMENTAZIONE DNA,250.0,,,,0,NO_DATI_GIPO
frassino-fraxinus-species-ige-specifiche,FRASSINO (FRAXINUS SPECIES) (IgE SPECIFICHE),25.0,,,,0,NO_DATI_GIPO
free-beta-hcg-per-bitest,FREE BETA HCG per BITEST,8.2,8.2,2025-08-01,8.2,1,OK
fruttosamina,FRUTTOSAMINA,15.0,15.0,2025-10-13,15.0,1,OK
funghi-champignon-ige-specifiche,FUNGHI CHAMPIGNON (IgE SPECIFICHE),19.0,,,,0,NO_DATI_GIPO
fusarium-moniliforme-ige-specifiche,FUSARIUM MONILIFORME (IgE SPECIFICHE),25.0,,,,0,NO_DATI_GIPO
g6pd-analisi-genetica,G6PD ANALISI GENETICA,690.0,,,,0,NO_DATI_GIPO
gad-65-anticorpi-anti-decarbossilasi-dell-acido-gl,GAD 65 (ANTICORPI ANTI-DECARBOSSILASI DELL'ACIDO GLUTAMICO),65.2,65.2,2026-04-07,65.2,1,OK
gal-d1-ige-specifiche-ovomucoide,Gal d1 IgE Specifiche (ovomucoide),122.0,,,,0,NO_DATI_GIPO
gal-d2-ige-specifiche-ovoalbumina,Gal d2 IgE Specifiche (ovoalbumina),12.5,,,,0,NO_DATI_GIPO
gambero-ige-specifiche,GAMBERO (IgE SPECIFICHE),18.0,,,,0,NO_DATI_GIPO
gamma-glutamiltransferasi,GAMMA GLUTAMILTRANSFERASI,2.0,2.0,2026-06-29,2.0,555,OK
gastrina,GASTRINA,15.6,,,,0,NO_DATI_GIPO
gastropanel,GASTROPANEL,180.0,180.0,2026-03-14,180.0,3,OK
gelso-bianco-morus-alba-ige-specifiche,GELSO BIANCO (MORUS ALBA) (IgE SPECIFICHE),19.0,,,,0,NO_DATI_GIPO
gene-fattore-ii-protrombina-ricerca-della-mutazion,GENE FATTORE II (PROTROMBINA): RICERCA DELLA MUTAZIONE G20210A,98.0,98.0,2025-08-19,98.0,2,OK
gene-jak2-identificazione-qualitativa-di-v617f,GENE JAK2 : IDENTIFICAZIONE QUALITATIVA DI V617F,240.0,,,,0,NO_DATI_GIPO
gene-pai-1-ricerca-della-variazione-4g-5g,Gene PAI-1 Ricerca della variazione 4G/5G,98.3,100.0,2026-05-25,100.0,1,MISMATCH
giallone-vespula-species-ige-specifiche,GIALLONE (VESPULA SPECIES) (IgE SPECIFICHE),12.5,12.5,2025-08-07,12.5,1,OK
giardia-intestinalis-ricerca-antigene-nelle-feci,GIARDIA INTESTINALIS RICERCA ANTIGENE NELLE FECI,25.0,25.0,2026-03-26,25.0,6,OK
ginepro-sabina-juniperus-sabinoides-ige-specifiche,GINEPRO SABINA (JUNIPERUS SABINOIDES) (IgE SPECIFICHE),12.5,,,,0,NO_DATI_GIPO
glicosuria,GLICOSURIA,3.5,,,,0,NO_DATI_GIPO
glucagone,GLUCAGONE,75.4,75.4,2025-07-26,75.4,1,OK
glucosio,GLUCOSIO,1.99,1.99,2026-06-29,1.99,635,OK
glucosio-0-60-120,GLUCOSIO 0'60'120',35.0,35.0,2026-06-23,35.0,65,OK
glucosio-6-fosfatodeidrogenasi-g-6-pdh-eritrocitar,GLUCOSIO-6-FOSFATODEIDROGENASI (G-6-PDH) ERITROCITARIA,13.0,15.0,2026-06-30,13.0,25,OK
glutammato-deidrogenasi-clostridium-difficile-gdh,GLUTAMMATO DEIDROGENASI (CLOSTRIDIUM  DIFFICILE GDH),21.0,,,,0,NO_DATI_GIPO
glutatione-perossidasi,GLUTATIONE PEROSSIDASI,73.0,73.0,2025-07-31,73.0,1,OK
glutatione-sangue-intero,GLUTATIONE SANGUE INTERO,60.0,60.0,2026-06-22,60.0,15,OK
glutine-ige-specifiche,GLUTINE (IgE SPECIFICHE),12.5,,,,0,NO_DATI_GIPO
glycyphagus-domesticus-ige-specifiche,GLYCYPHAGUS DOMESTICUS (IgE SPECIFICHE),12.5,,,,0,NO_DATI_GIPO
gramigna-dei-prati-poa-pratensis-ige-specifiche,GRAMIGNA DEI PRATI (POA PRATENSIS) (IgE SPECIFICHE),12.5,,,,0,NO_DATI_GIPO
granchio-ige-specifiche,GRANCHIO (IgE SPECIFICHE),18.0,,,,0,NO_DATI_GIPO
grano-ige-specifiche,GRANO (IgE SPECIFICHE),14.5,12.5,2025-08-07,12.5,1,MISMATCH
grano-triticum-sativum-ige-specifiche,GRANO (TRITICUM SATIVUM) (IgE SPECIFICHE),12.5,12.5,2026-06-16,12.5,1,OK
grano-saraceno-ige-specifiche,GRANO SARACENO (IgE SPECIFICHE),12.5,,,,0,NO_DATI_GIPO
gruppo-sanguigno-fattore-rh,GRUPPO SANGUIGNO FATTORE RH,8.0,8.0,2026-06-30,8.0,63,OK
hb-emoglobine-anomale-hbs-hbd-hbh-ecc,"HB EMOGLOBINE ANOMALE (HBS, HBD, HBH, ECC)",15.0,15.0,2026-05-25,15.0,29,OK
hbsag-test-di-conferma,HBsAg - TEST DI CONFERMA,22.0,22.0,2026-01-02,22.0,1,OK
hbsag-antigene-australia,HBsAg (ANTIGENE AUSTRALIA),10.0,10.0,2026-06-30,10.0,128,OK
hbsag-antigene-di-superficie-virus-epatite-b-quant,HBSAG (ANTIGENE DI SUPERFICIE VIRUS EPATITE B) QUANTITATIVO,41.0,41.0,2025-12-05,41.0,4,OK
hbsag-ultra,HBsAg ULTRA,25.0,,,,0,NO_DATI_GIPO
hbv-dna-genotipo,HBV DNA Genotipo,245.0,,,,0,NO_DATI_GIPO
hbv-dna-quantitativo,HBV DNA QUANTITATIVO,75.0,75.0,2025-11-17,45.25,2,OK
hcv-rna-genotipo,HCV RNA GENOTIPO,157.3,143.5,2025-11-04,143.5,1,MISMATCH
he4-ovarian-cancer-marker,HE4 (OVARIAN CANCER MARKER),95.0,95.0,2026-05-27,95.0,19,OK
helicobacter-pylori-ricerca-antigene-nelle-feci,HELICOBACTER PYLORI RICERCA ANTIGENE NELLE FECI,12.9,12.9,2026-06-16,12.9,36,OK
hiv-1-rna-quantitativo,HIV 1 RNA QUANTITATIVO,157.3,,,,0,NO_DATI_GIPO
hiv-1-2-riba-test-di-conferma,HIV 1/2 RIBA - TEST DI CONFERMA,144.2,,,,0,NO_DATI_GIPO
hiv-anticorpi-antigene-p24,HIV ANTICORPI - ANTIGENE P24,100.0,100.0,2026-04-11,100.0,12,OK
hiv-anticorpo-antigene,HIV ANTICORPO/ANTIGENE,40.0,40.0,2026-06-05,40.0,1,OK
hla-locus-b51-tipizzazione,HLA (locus B51) Tipizzazione,85.0,85.0,2026-05-25,85.0,1,OK
hla-b27-dna,HLA B27 DNA,120.0,120.0,2026-05-28,120.0,3,OK
hla-classe-1-locus-a-b-c-classe-ii-dq-e-dr,"HLA CLASSE 1 ( LOCUS A,B,C) CLASSE II DQ E DR",400.0,400.0,2025-09-17,400.0,1,OK
hla-per-identificazione-dq2-e-dq8,HLA PER IDENTIFICAZIONE DQ2 E DQ8,138.0,90.0,2026-05-11,90.0,10,MISMATCH
hla-tipo-c,HLA TIPO C,120.0,,,,0,NO_DATI_GIPO
hollister-stier-labs-ige-specifiche,HOLLISTER - STIER LABS. (IgE SPECIFICHE),12.5,,,,0,NO_DATI_GIPO
hpv-dna-screening-e-tipizzazione-di-ceppi-al-alto-,HPV DNA  SCREENING E TIPIZZAZIONE DI CEPPI AL ALTO RISCHIO ONCOGENO,90.0,90.0,2026-06-29,90.0,11,OK
hpv-test-su-liquido-seminale,Hpv test su liquido seminale,95.0,95.0,2026-02-19,15.0,2,OK
hsv-1-2-tampone-vaginale,HSV 1-2  Tampone vaginale,60.0,60.0,2026-02-25,60.0,2,OK
ia2-insulinoma-antigene-2-abs,IA2 (Insulinoma Antigene 2) Abs,63.0,,,,0,NO_DATI_GIPO
idrossilasi,IDROSSILASI,95.5,,,,0,NO_DATI_GIPO
idrossipirene-urinario,IDROSSIPIRENE URINARIO,50.0,50.0,2026-03-20,50.0,2,OK
idrossipirene-urine-f-t,IDROSSIPIRENE URINE F.T.,43.6,,,,0,NO_DATI_GIPO
idrossiprolina-urine-24h,IDROSSIPROLINA URINE 24H,24.0,,,,0,NO_DATI_GIPO
iga-salivari,IGA SALIVARI,29.0,,,,0,NO_DATI_GIPO
ige-frumento,IGE FRUMENTO,14.0,,,,0,NO_DATI_GIPO
ige-pannello-allergologico,IGE PANNELLO ALLERGOLOGICO,170.0,,,,0,NO_DATI_GIPO
ige-totali,IgE TOTALI,15.2,15.2,2026-06-08,15.2,53,OK
igf-bp-3,IGF BP-3,67.5,,,,0,NO_DATI_GIPO
immunocomplessi-circolanti-cic,IMMUNOCOMPLESSI CIRCOLANTI (CIC),15.4,,,,0,NO_DATI_GIPO
immunofissazione-sierica,IMMUNOFISSAZIONE SIERICA,60.2,60.2,2026-05-28,60.2,12,OK
immunofissazione-urinaria,IMMUNOFISSAZIONE URINARIA,110.0,110.0,2025-11-12,110.0,2,OK
immunoglobuline-iga,IMMUNOGLOBULINE IgA,6.0,6.0,2026-06-27,6.0,38,OK
immunoglobuline-igg,IMMUNOGLOBULINE IgG,6.0,6.0,2026-06-24,6.0,13,OK
immunoglobuline-igg4,IMMUNOGLOBULINE IGG4,32.0,,,,0,NO_DATI_GIPO
immunoglobuline-igm,IMMUNOGLOBULINE IgM,6.0,6.0,2026-06-24,6.0,8,OK
indicano-disbiosi-test,INDICANO (Disbiosi TEST),45.0,45.0,2026-06-24,45.0,20,OK
indice-r-o-m-a,INDICE R.O.M.A.,50.0,,,,0,NO_DATI_GIPO
indice-homa,INDICE HOMA,20.0,20.0,2026-06-11,20.0,23,OK
influenza-rapid-test,Influenza RAPID TEST,15.0,,,,0,NO_DATI_GIPO
inibina-b,INIBINA B,98.0,98.0,2025-11-19,98.0,3,OK
insulinemia,INSULINEMIA,5.5,5.5,2026-06-24,5.5,111,OK
interleuchina-6,INTERLEUCHINA 6,235.0,,,,0,NO_DATI_GIPO
intolleranza-al-nichel-ricerca-di-mutazioni-su-tnf,Intolleranza al nichel (ricerca di mutazioni su TNF e FLG),90.0,90.0,2025-10-27,90.0,1,OK
intolleranza-genetica-al-lattosio-e-predisposizion,INTOLLERANZA GENETICA AL LATTOSIO E PREDISPOSIZIONE ALLA MALATTIA CELIACA,155.0,,,,0,NO_DATI_GIPO
iodio-sierico-totale,IODIO SIERICO TOTALE,230.0,,,,0,NO_DATI_GIPO
iodio-urine-24h,IODIO URINE 24H,230.0,,,,0,NO_DATI_GIPO
isocianato-hdi-ige-specifiche,ISOCIANATO HDI (IgE SPECIFICHE),19.0,,,,0,NO_DATI_GIPO
isocianato-mdi-ige-specifiche,ISOCIANATO MDI (IgE SPECIFICHE),19.0,,,,0,NO_DATI_GIPO
isocianato-tdi-ige-specifiche,ISOCIANATO TDI (IgE SPECIFICHE),19.0,,,,0,NO_DATI_GIPO
isoenzimi-ck-creatinchinasi,Isoenzimi CK(Creatinchinasi),65.0,,,,0,NO_DATI_GIPO
istamina,ISTAMINA,96.0,96.0,2026-02-03,96.0,4,OK
istamina-urine-24h,ISTAMINA URINE 24H,124.0,,,,0,NO_DATI_GIPO
